index,position_label
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,3.0
38,3.0
39,3.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,5.0
51,5.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,6.0
61,6.0
62,6.0
63,6.0
64,6.0
65,6.0
66,6.0
67,6.0
68,6.0
69,6.0
70,7.0
71,7.0
72,7.0
73,7.0
74,7.0
75,7.0
76,7.0
77,7.0
78,7.0
79,7.0
80,8.0
81,8.0
82,8.0
83,8.0
84,8.0
85,8.0
86,9.0
87,9.0
88,9.0
89,9.0
90,9.0
91,9.0
92,9.0
93,9.0
94,9.0
95,9.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,11.0
107,11.0
108,11.0
109,11.0
110,11.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,12.0
117,12.0
118,12.0
119,12.0
120,12.0
121,12.0
122,12.0
123,12.0
124,12.0
125,12.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,13.0
136,14.0
137,14.0
138,14.0
139,14.0
140,14.0
141,14.0
142,14.0
143,14.0
144,14.0
145,14.0
146,15.0
147,15.0
148,15.0
149,15.0
150,15.0
151,15.0
152,15.0
153,15.0
154,15.0
155,15.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,2.0
177,2.0
178,2.0
179,2.0
180,2.0
181,2.0
182,2.0
183,2.0
184,2.0
185,2.0
186,3.0
187,3.0
188,3.0
189,3.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,4.0
205,4.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,5.0
215,5.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,7.0
227,7.0
228,7.0
229,7.0
230,7.0
231,7.0
232,7.0
233,7.0
234,7.0
235,7.0
236,8.0
237,8.0
238,8.0
239,8.0
240,8.0
241,8.0
242,8.0
243,8.0
244,8.0
245,9.0
246,9.0
247,9.0
248,9.0
249,9.0
250,9.0
251,9.0
252,9.0
253,9.0
254,9.0
255,10.0
256,10.0
257,10.0
258,10.0
259,10.0
260,10.0
261,10.0
262,10.0
263,10.0
264,10.0
265,11.0
266,11.0
267,11.0
268,11.0
269,11.0
270,11.0
271,11.0
272,11.0
273,11.0
274,11.0
275,12.0
276,12.0
277,12.0
278,12.0
279,12.0
280,12.0
281,12.0
282,13.0
283,13.0
284,13.0
285,13.0
286,13.0
287,13.0
288,13.0
289,14.0
290,14.0
291,14.0
292,14.0
293,14.0
294,14.0
295,14.0
296,14.0
297,14.0
298,14.0
299,15.0
300,15.0
301,15.0
302,15.0
303,15.0
304,15.0
305,15.0
306,15.0
307,15.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,2.0
329,2.0
330,2.0
331,2.0
332,2.0
333,2.0
334,2.0
335,2.0
336,2.0
337,2.0
338,3.0
339,3.0
340,3.0
341,3.0
342,3.0
343,3.0
344,3.0
345,3.0
346,3.0
347,4.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,4.0
356,4.0
357,5.0
358,5.0
359,5.0
360,5.0
361,5.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,6.0
368,6.0
369,6.0
370,6.0
371,6.0
372,6.0
373,6.0
374,6.0
375,6.0
376,6.0
377,7.0
378,7.0
379,7.0
380,7.0
381,7.0
382,7.0
383,7.0
384,7.0
385,7.0
386,7.0
387,8.0
388,8.0
389,8.0
390,8.0
391,8.0
392,8.0
393,8.0
394,8.0
395,8.0
396,8.0
397,9.0
398,9.0
399,9.0
400,9.0
401,9.0
402,9.0
403,9.0
404,9.0
405,9.0
406,9.0
407,10.0
408,10.0
409,10.0
410,10.0
411,10.0
412,10.0
413,10.0
414,10.0
415,10.0
416,10.0
417,11.0
418,11.0
419,11.0
420,11.0
421,11.0
422,11.0
423,11.0
424,11.0
425,11.0
426,11.0
427,12.0
428,12.0
429,12.0
430,12.0
431,12.0
432,12.0
433,12.0
434,12.0
435,12.0
436,12.0
437,13.0
438,13.0
439,13.0
440,13.0
441,13.0
442,13.0
443,13.0
444,13.0
445,13.0
446,13.0
447,14.0
448,14.0
449,14.0
450,14.0
451,14.0
452,14.0
453,14.0
454,14.0
455,14.0
456,14.0
457,15.0
458,15.0
459,15.0
460,15.0
461,15.0
462,15.0
463,15.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,2.0
490,2.0
491,2.0
492,2.0
493,2.0
494,2.0
495,2.0
496,2.0
497,2.0
498,2.0
499,3.0
500,3.0
501,3.0
502,3.0
503,3.0
504,3.0
505,3.0
506,3.0
507,3.0
508,3.0
509,4.0
510,4.0
511,4.0
512,4.0
513,4.0
514,4.0
515,4.0
516,4.0
517,4.0
518,4.0
519,5.0
520,5.0
521,5.0
522,5.0
523,8.0
524,0.0
525,0.0
526,0.0
527,0.0
528,2.0
529,2.0
530,2.0
531,2.0
532,2.0
533,3.0
534,3.0
535,3.0
536,3.0
537,3.0
538,3.0
539,3.0
540,3.0
541,3.0
542,4.0
543,4.0
544,4.0
545,4.0
546,4.0
547,4.0
548,4.0
549,4.0
550,4.0
551,4.0
552,5.0
553,5.0
554,5.0
555,5.0
556,5.0
557,5.0
558,5.0
559,5.0
560,5.0
561,5.0
562,6.0
563,6.0
564,6.0
565,6.0
566,6.0
567,6.0
568,6.0
569,6.0
570,6.0
571,6.0
