index,pos_1_label,pos_2_label
100,2.0,7.0
101,2.0,7.0
102,2.0,8.0
103,2.0,8.0
104,2.0,8.0
105,2.0,9.0
106,2.0,9.0
107,2.0,9.0
108,2.0,10.0
109,2.0,10.0
110,2.0,10.0
111,2.0,11.0
112,2.0,11.0
113,2.0,11.0
114,2.0,12.0
115,2.0,12.0
116,2.0,12.0
117,2.0,13.0
118,2.0,13.0
119,2.0,13.0
120,2.0,14.0
121,2.0,14.0
122,2.0,14.0
123,2.0,15.0
124,2.0,15.0
125,2.0,15.0
126,3.0,4.0
127,3.0,4.0
128,3.0,4.0
129,3.0,5.0
130,3.0,5.0
131,3.0,5.0
132,3.0,6.0
133,3.0,6.0
134,3.0,6.0
135,3.0,7.0
136,3.0,7.0
137,3.0,7.0
138,3.0,8.0
139,3.0,8.0
140,3.0,8.0
141,3.0,9.0
142,3.0,9.0
143,3.0,9.0
144,3.0,10.0
145,3.0,10.0
146,3.0,10.0
147,3.0,11.0
148,3.0,11.0
149,3.0,11.0
150,3.0,12.0
151,3.0,12.0
152,3.0,12.0
153,3.0,13.0
154,3.0,13.0
155,3.0,13.0
156,3.0,14.0
157,3.0,14.0
158,3.0,14.0
159,3.0,15.0
160,3.0,15.0
161,3.0,15.0
162,4.0,5.0
163,4.0,5.0
164,4.0,5.0
165,4.0,6.0
166,4.0,6.0
167,4.0,6.0
168,4.0,7.0
169,4.0,7.0
170,4.0,7.0
171,4.0,8.0
172,4.0,8.0
173,4.0,8.0
174,4.0,9.0
175,4.0,9.0
176,4.0,9.0
177,4.0,10.0
178,4.0,10.0
179,4.0,10.0
180,4.0,11.0
181,4.0,11.0
182,4.0,11.0
183,4.0,12.0
184,4.0,12.0
185,4.0,12.0
186,4.0,13.0
187,4.0,13.0
188,4.0,13.0
189,4.0,14.0
190,4.0,14.0
191,4.0,14.0
192,4.0,15.0
193,4.0,15.0
194,4.0,15.0
195,5.0,6.0
196,5.0,6.0
197,5.0,6.0
198,5.0,7.0
199,5.0,7.0
200,5.0,7.0
201,5.0,8.0
202,5.0,8.0
203,5.0,8.0
204,5.0,9.0
205,5.0,9.0
206,5.0,9.0
207,5.0,10.0
208,5.0,10.0
209,5.0,10.0
210,5.0,11.0
211,5.0,11.0
212,5.0,11.0
213,5.0,12.0
214,5.0,12.0
215,5.0,12.0
216,5.0,13.0
217,5.0,13.0
218,5.0,13.0
219,5.0,14.0
220,5.0,14.0
221,5.0,14.0
222,5.0,15.0
223,5.0,15.0
224,5.0,15.0
225,6.0,7.0
226,6.0,7.0
227,6.0,7.0
228,6.0,8.0
229,6.0,8.0
230,6.0,8.0
231,6.0,9.0
232,6.0,9.0
233,6.0,9.0
234,6.0,10.0
235,6.0,10.0
236,6.0,10.0
237,6.0,11.0
238,6.0,11.0
239,6.0,11.0
240,6.0,12.0
241,6.0,12.0
242,6.0,12.0
243,6.0,13.0
244,6.0,13.0
245,6.0,13.0
246,6.0,14.0
247,6.0,14.0
248,6.0,14.0
249,6.0,15.0
250,6.0,15.0
251,6.0,15.0
252,7.0,8.0
253,7.0,8.0
254,7.0,8.0
255,7.0,9.0
256,7.0,9.0
257,7.0,9.0
258,7.0,10.0
259,7.0,10.0
260,7.0,10.0
261,7.0,11.0
262,7.0,11.0
263,7.0,11.0
264,7.0,12.0
265,7.0,12.0
266,7.0,12.0
267,7.0,13.0
268,7.0,13.0
269,7.0,13.0
270,7.0,14.0
271,7.0,14.0
272,7.0,14.0
273,7.0,15.0
274,7.0,15.0
275,7.0,15.0
276,8.0,9.0
277,8.0,9.0
278,8.0,9.0
279,8.0,10.0
280,8.0,10.0
281,8.0,10.0
282,8.0,11.0
283,8.0,11.0
284,8.0,11.0
285,8.0,12.0
286,8.0,12.0
287,8.0,12.0
288,8.0,13.0
289,8.0,13.0
290,8.0,13.0
291,8.0,14.0
292,8.0,14.0
293,8.0,14.0
294,8.0,15.0
295,8.0,15.0
296,8.0,15.0
297,9.0,10.0
298,9.0,10.0
299,9.0,10.0
300,9.0,11.0
301,9.0,11.0
302,9.0,11.0
303,9.0,12.0
304,9.0,12.0
305,9.0,12.0
306,9.0,13.0
307,9.0,13.0
308,9.0,13.0
309,9.0,14.0
310,9.0,14.0
311,9.0,14.0
312,9.0,15.0
313,9.0,15.0
314,9.0,15.0
315,10.0,11.0
316,10.0,11.0
317,10.0,11.0
318,10.0,12.0
319,10.0,12.0
320,10.0,12.0
321,10.0,13.0
322,10.0,13.0
323,10.0,13.0
324,10.0,14.0
325,10.0,14.0
326,10.0,14.0
327,10.0,15.0
328,10.0,15.0
329,10.0,15.0
330,11.0,12.0
331,11.0,12.0
332,11.0,12.0
333,11.0,13.0
334,11.0,13.0
335,11.0,13.0
336,11.0,14.0
337,11.0,14.0
338,11.0,14.0
339,11.0,15.0
340,11.0,15.0
341,11.0,15.0
342,12.0,13.0
343,12.0,13.0
344,12.0,13.0
345,12.0,14.0
346,12.0,14.0
347,12.0,14.0
348,12.0,15.0
349,12.0,15.0
350,12.0,15.0
351,13.0,14.0
352,13.0,14.0
353,13.0,14.0
354,13.0,15.0
355,13.0,15.0
356,13.0,15.0
357,14.0,15.0
358,14.0,15.0
359,14.0,15.0
